date;time;luwezijderaamstand;group
12-06-2020;15:45:00;40;Gr. 6V
12-06-2020;15:50:00;45;Gr. 6V
12-06-2020;15:55:00;50;Gr. 6V
12-06-2020;16:00:00;37;Gr. 6V
12-06-2020;16:05:00;39;Gr. 6V
12-06-2020;16:10:00;40;Gr. 6V
12-06-2020;16:15:00;40;Gr. 6V
12-06-2020;16:20:00;45;Gr. 6V
12-06-2020;16:25:00;49;Gr. 6V
12-06-2020;16:30:00;53;Gr. 6V
12-06-2020;16:35:00;44;Gr. 6V
12-06-2020;16:40:00;49;Gr. 6V
12-06-2020;16:45:00;53;Gr. 6V
12-06-2020;16:50:00;57;Gr. 6V
12-06-2020;16:55:00;61;Gr. 6V
12-06-2020;17:00:00;65;Gr. 6V
12-06-2020;17:05:00;69;Gr. 6V
12-06-2020;17:10:00;98;Gr. 6V
12-06-2020;17:15:00;100;Gr. 6V
12-06-2020;17:20:00;35;Gr. 6V
12-06-2020;17:25:00;35;Gr. 6V
12-06-2020;17:30:00;40;Gr. 6V
12-06-2020;17:35:00;45;Gr. 6V
12-06-2020;17:40:00;40;Gr. 6V
12-06-2020;17:45:00;46;Gr. 6V
12-06-2020;17:50:00;50;Gr. 6V
12-06-2020;17:55:00;53;Gr. 6V
12-06-2020;18:00:00;57;Gr. 6V
12-06-2020;18:05:00;38;Gr. 6V
12-06-2020;18:10:00;40;Gr. 6V
12-06-2020;18:15:00;46;Gr. 6V
12-06-2020;18:20:00;50;Gr. 6V
12-06-2020;18:25:00;53;Gr. 6V
12-06-2020;18:30:00;57;Gr. 6V
12-06-2020;18:35:00;56;Gr. 6V
12-06-2020;18:40:00;39;Gr. 6V
12-06-2020;18:45:00;35;Gr. 6V
12-06-2020;18:50:00;42;Gr. 6V
12-06-2020;18:55:00;46;Gr. 6V
12-06-2020;19:00:00;50;Gr. 6V
12-06-2020;19:05:00;55;Gr. 6V
12-06-2020;19:10:00;59;Gr. 6V
12-06-2020;19:15:00;41;Gr. 6V
12-06-2020;19:20:00;46;Gr. 6V
12-06-2020;19:25:00;51;Gr. 6V
12-06-2020;19:30:00;55;Gr. 6V
12-06-2020;19:35:00;59;Gr. 6V
12-06-2020;19:40:00;64;Gr. 6V
12-06-2020;19:45:00;69;Gr. 6V
12-06-2020;19:50:00;88;Gr. 6V
12-06-2020;19:55:00;100;Gr. 6V
12-06-2020;20:00:00;100;Gr. 6V
12-06-2020;20:05:00;100;Gr. 6V
12-06-2020;20:10:00;100;Gr. 6V
12-06-2020;20:15:00;100;Gr. 6V
12-06-2020;20:20:00;100;Gr. 6V
12-06-2020;20:25:00;100;Gr. 6V
12-06-2020;20:30:00;100;Gr. 6V
12-06-2020;20:35:00;100;Gr. 6V
12-06-2020;20:40:00;100;Gr. 6V
12-06-2020;20:45:00;100;Gr. 6V
12-06-2020;20:50:00;100;Gr. 6V
12-06-2020;20:55:00;100;Gr. 6V
12-06-2020;21:00:00;100;Gr. 6V
12-06-2020;21:05:00;100;Gr. 6V
12-06-2020;21:10:00;100;Gr. 6V
12-06-2020;21:15:00;100;Gr. 6V
12-06-2020;21:20:00;100;Gr. 6V
12-06-2020;21:25:00;52;Gr. 6V
12-06-2020;21:30:00;38;Gr. 6V
12-06-2020;21:35:00;21;Gr. 6V
12-06-2020;21:40:00;21;Gr. 6V
12-06-2020;21:45:00;21;Gr. 6V
12-06-2020;21:50:00;21;Gr. 6V
12-06-2020;21:55:00;21;Gr. 6V
12-06-2020;22:00:00;21;Gr. 6V
12-06-2020;22:05:00;19;Gr. 6V
12-06-2020;22:10:00;24;Gr. 6V
12-06-2020;22:15:00;15;Gr. 6V
12-06-2020;22:20:00;15;Gr. 6V
12-06-2020;22:25:00;16;Gr. 6V
12-06-2020;22:30:00;19;Gr. 6V
12-06-2020;22:35:00;21;Gr. 6V
12-06-2020;22:40:00;25;Gr. 6V
12-06-2020;22:45:00;26;Gr. 6V
12-06-2020;22:50:00;27;Gr. 6V
12-06-2020;22:55:00;27;Gr. 6V
12-06-2020;23:00:00;28;Gr. 6V
12-06-2020;23:05:00;28;Gr. 6V
12-06-2020;23:10:00;28;Gr. 6V
12-06-2020;23:15:00;28;Gr. 6V
12-06-2020;23:20:00;26;Gr. 6V
12-06-2020;23:25:00;26;Gr. 6V
12-06-2020;23:30:00;25;Gr. 6V
12-06-2020;23:35:00;25;Gr. 6V
12-06-2020;23:40:00;25;Gr. 6V
12-06-2020;23:45:00;25;Gr. 6V
12-06-2020;23:50:00;28;Gr. 6V
12-06-2020;23:55:00;34;Gr. 6V
13-06-2020;00:00:00;39;Gr. 6V
13-06-2020;00:05:00;44;Gr. 6V
13-06-2020;00:10:00;49;Gr. 6V
13-06-2020;00:15:00;53;Gr. 6V
13-06-2020;00:20:00;58;Gr. 6V
13-06-2020;00:25:00;63;Gr. 6V
13-06-2020;00:30:00;100;Gr. 6V
13-06-2020;00:35:00;100;Gr. 6V
13-06-2020;00:40:00;100;Gr. 6V
13-06-2020;00:45:00;100;Gr. 6V
13-06-2020;00:50:00;100;Gr. 6V
13-06-2020;00:55:00;100;Gr. 6V
13-06-2020;01:00:00;100;Gr. 6V
13-06-2020;01:05:00;100;Gr. 6V
13-06-2020;01:10:00;34;Gr. 6V
13-06-2020;01:15:00;39;Gr. 6V
13-06-2020;01:20:00;28;Gr. 6V
