date;time;transport;group
13-06-2020;00:00:00;0;Transport Gr. 5, 6
13-06-2020;00:05:00;0;Transport Gr. 5, 6
13-06-2020;00:10:00;0;Transport Gr. 5, 6
13-06-2020;00:15:00;0;Transport Gr. 5, 6
13-06-2020;00:20:00;0;Transport Gr. 5, 6
13-06-2020;00:25:00;0;Transport Gr. 5, 6
13-06-2020;00:30:00;0;Transport Gr. 5, 6
13-06-2020;00:35:00;0;Transport Gr. 5, 6
13-06-2020;00:40:00;0;Transport Gr. 5, 6
13-06-2020;00:45:00;0;Transport Gr. 5, 6
13-06-2020;00:50:00;0;Transport Gr. 5, 6
13-06-2020;00:55:00;0;Transport Gr. 5, 6
13-06-2020;01:00:00;0;Transport Gr. 5, 6
13-06-2020;01:05:00;0;Transport Gr. 5, 6
13-06-2020;01:10:00;0;Transport Gr. 5, 6
13-06-2020;01:15:00;0;Transport Gr. 5, 6
13-06-2020;01:20:00;0;Transport Gr. 5, 6
13-06-2020;01:25:00;0;Transport Gr. 5, 6
13-06-2020;01:30:00;0;Transport Gr. 5, 6
13-06-2020;01:35:00;0;Transport Gr. 5, 6
13-06-2020;01:40:00;0;Transport Gr. 5, 6
13-06-2020;01:45:00;0;Transport Gr. 5, 6
13-06-2020;01:50:00;0;Transport Gr. 5, 6
13-06-2020;01:55:00;0;Transport Gr. 5, 6
13-06-2020;02:00:00;0;Transport Gr. 5, 6
13-06-2020;02:05:00;0;Transport Gr. 5, 6
13-06-2020;02:10:00;0;Transport Gr. 5, 6
13-06-2020;02:15:00;0;Transport Gr. 5, 6
13-06-2020;02:20:00;0;Transport Gr. 5, 6
13-06-2020;02:25:00;0;Transport Gr. 5, 6
13-06-2020;02:30:00;0;Transport Gr. 5, 6
13-06-2020;02:35:00;0;Transport Gr. 5, 6
13-06-2020;02:40:00;0;Transport Gr. 5, 6
13-06-2020;02:45:00;0;Transport Gr. 5, 6
13-06-2020;02:50:00;0;Transport Gr. 5, 6
13-06-2020;02:55:00;0;Transport Gr. 5, 6
13-06-2020;03:00:00;0;Transport Gr. 5, 6
13-06-2020;03:05:00;0;Transport Gr. 5, 6
13-06-2020;03:10:00;0;Transport Gr. 5, 6
13-06-2020;03:15:00;0;Transport Gr. 5, 6
13-06-2020;03:20:00;577;Transport Gr. 5, 6
13-06-2020;03:25:00;749;Transport Gr. 5, 6
13-06-2020;03:30:00;915;Transport Gr. 5, 6
13-06-2020;03:35:00;1091;Transport Gr. 5, 6
13-06-2020;03:40:00;1260;Transport Gr. 5, 6
13-06-2020;03:45:00;1433;Transport Gr. 5, 6
13-06-2020;03:50:00;1641;Transport Gr. 5, 6
13-06-2020;03:55:00;1777;Transport Gr. 5, 6
13-06-2020;04:00:00;1970;Transport Gr. 5, 6
13-06-2020;04:05:00;1847;Transport Gr. 5, 6
13-06-2020;04:10:00;1597;Transport Gr. 5, 6
13-06-2020;04:15:00;1347;Transport Gr. 5, 6
13-06-2020;04:20:00;1158;Transport Gr. 5, 6
13-06-2020;04:25:00;1505;Transport Gr. 5, 6
13-06-2020;04:30:00;1639;Transport Gr. 5, 6
13-06-2020;04:35:00;1499;Transport Gr. 5, 6
13-06-2020;04:40:00;1877;Transport Gr. 5, 6
13-06-2020;04:45:00;2278;Transport Gr. 5, 6
13-06-2020;04:50:00;2424;Transport Gr. 5, 6
13-06-2020;04:55:00;2502;Transport Gr. 5, 6
13-06-2020;05:00:00;2571;Transport Gr. 5, 6
13-06-2020;05:05:00;2642;Transport Gr. 5, 6
13-06-2020;05:10:00;2721;Transport Gr. 5, 6
13-06-2020;05:15:00;2800;Transport Gr. 5, 6
13-06-2020;05:20:00;2861;Transport Gr. 5, 6
13-06-2020;05:25:00;2973;Transport Gr. 5, 6
13-06-2020;05:30:00;2985;Transport Gr. 5, 6
13-06-2020;05:35:00;2989;Transport Gr. 5, 6
13-06-2020;05:40:00;2975;Transport Gr. 5, 6
13-06-2020;05:45:00;2989;Transport Gr. 5, 6
13-06-2020;05:50:00;2992;Transport Gr. 5, 6
13-06-2020;05:55:00;2982;Transport Gr. 5, 6
13-06-2020;06:00:00;2957;Transport Gr. 5, 6
13-06-2020;06:05:00;2975;Transport Gr. 5, 6
13-06-2020;06:10:00;2968;Transport Gr. 5, 6
13-06-2020;06:15:00;2953;Transport Gr. 5, 6
13-06-2020;06:20:00;2960;Transport Gr. 5, 6
13-06-2020;06:25:00;2957;Transport Gr. 5, 6
13-06-2020;06:30:00;2964;Transport Gr. 5, 6
13-06-2020;06:35:00;2961;Transport Gr. 5, 6
13-06-2020;06:40:00;2946;Transport Gr. 5, 6
13-06-2020;06:45:00;2936;Transport Gr. 5, 6
13-06-2020;06:50:00;2943;Transport Gr. 5, 6
13-06-2020;06:55:00;2929;Transport Gr. 5, 6
13-06-2020;07:00:00;2914;Transport Gr. 5, 6
13-06-2020;07:05:00;2911;Transport Gr. 5, 6
13-06-2020;07:10:00;2911;Transport Gr. 5, 6
13-06-2020;07:15:00;2896;Transport Gr. 5, 6
13-06-2020;07:20:00;2865;Transport Gr. 5, 6
13-06-2020;07:25:00;2886;Transport Gr. 5, 6
13-06-2020;07:30:00;2799;Transport Gr. 5, 6
13-06-2020;07:35:00;2629;Transport Gr. 5, 6
13-06-2020;07:40:00;2475;Transport Gr. 5, 6
13-06-2020;07:45:00;2322;Transport Gr. 5, 6
13-06-2020;07:50:00;2155;Transport Gr. 5, 6
13-06-2020;07:55:00;2046;Transport Gr. 5, 6
13-06-2020;08:00:00;1892;Transport Gr. 5, 6
13-06-2020;08:05:00;1751;Transport Gr. 5, 6
13-06-2020;08:10:00;1614;Transport Gr. 5, 6
13-06-2020;08:15:00;1485;Transport Gr. 5, 6
13-06-2020;08:20:00;1346;Transport Gr. 5, 6
13-06-2020;08:25:00;1214;Transport Gr. 5, 6
13-06-2020;08:30:00;1085;Transport Gr. 5, 6
13-06-2020;08:35:00;990;Transport Gr. 5, 6
13-06-2020;08:40:00;879;Transport Gr. 5, 6
13-06-2020;08:45:00;762;Transport Gr. 5, 6
13-06-2020;08:50:00;630;Transport Gr. 5, 6
13-06-2020;08:55:00;521;Transport Gr. 5, 6
13-06-2020;09:00:00;458;Transport Gr. 5, 6
13-06-2020;09:05:00;452;Transport Gr. 5, 6
13-06-2020;09:10:00;476;Transport Gr. 5, 6
13-06-2020;09:15:00;473;Transport Gr. 5, 6
13-06-2020;09:20:00;470;Transport Gr. 5, 6
13-06-2020;09:25:00;433;Transport Gr. 5, 6
13-06-2020;09:30:00;415;Transport Gr. 5, 6
13-06-2020;09:35:00;415;Transport Gr. 5, 6
13-06-2020;09:40:00;390;Transport Gr. 5, 6
13-06-2020;09:45:00;392;Transport Gr. 5, 6
13-06-2020;09:50:00;390;Transport Gr. 5, 6
13-06-2020;09:55:00;414;Transport Gr. 5, 6
13-06-2020;10:00:00;433;Transport Gr. 5, 6
13-06-2020;10:05:00;442;Transport Gr. 5, 6
13-06-2020;10:10:00;451;Transport Gr. 5, 6
13-06-2020;10:15:00;439;Transport Gr. 5, 6
13-06-2020;10:20:00;408;Transport Gr. 5, 6
13-06-2020;10:25:00;393;Transport Gr. 5, 6
