date;time;kastemperatuurklimaat;group
12-06-2020;15:45:00;23.8;Gr. 6V
12-06-2020;15:50:00;24.0;Gr. 6V
12-06-2020;15:55:00;23.8;Gr. 6V
12-06-2020;16:00:00;23.9;Gr. 6V
12-06-2020;16:05:00;23.5;Gr. 6V
12-06-2020;16:10:00;23.4;Gr. 6V
12-06-2020;16:15:00;23.3;Gr. 6V
12-06-2020;16:20:00;22.9;Gr. 6V
12-06-2020;16:25:00;22.9;Gr. 6V
12-06-2020;16:30:00;22.9;Gr. 6V
12-06-2020;16:35:00;23.2;Gr. 6V
12-06-2020;16:40:00;23.2;Gr. 6V
12-06-2020;16:45:00;23.2;Gr. 6V
12-06-2020;16:50:00;22.9;Gr. 6V
12-06-2020;16:55:00;22.9;Gr. 6V
12-06-2020;17:00:00;23.2;Gr. 6V
12-06-2020;17:05:00;23.1;Gr. 6V
12-06-2020;17:10:00;23.4;Gr. 6V
12-06-2020;17:15:00;23.0;Gr. 6V
12-06-2020;17:20:00;22.8;Gr. 6V
12-06-2020;17:25:00;22.8;Gr. 6V
12-06-2020;17:30:00;22.8;Gr. 6V
12-06-2020;17:35:00;22.9;Gr. 6V
12-06-2020;17:40:00;22.8;Gr. 6V
12-06-2020;17:45:00;22.9;Gr. 6V
12-06-2020;17:50:00;23.0;Gr. 6V
12-06-2020;17:55:00;23.5;Gr. 6V
12-06-2020;18:00:00;23.4;Gr. 6V
12-06-2020;18:05:00;23.4;Gr. 6V
12-06-2020;18:10:00;23.7;Gr. 6V
12-06-2020;18:15:00;23.8;Gr. 6V
12-06-2020;18:20:00;24.2;Gr. 6V
12-06-2020;18:25:00;24.2;Gr. 6V
12-06-2020;18:30:00;24.1;Gr. 6V
12-06-2020;18:35:00;24.0;Gr. 6V
12-06-2020;18:40:00;24.3;Gr. 6V
12-06-2020;18:45:00;24.0;Gr. 6V
12-06-2020;18:50:00;24.2;Gr. 6V
12-06-2020;18:55:00;24.1;Gr. 6V
12-06-2020;19:00:00;23.9;Gr. 6V
12-06-2020;19:05:00;23.7;Gr. 6V
12-06-2020;19:10:00;23.4;Gr. 6V
12-06-2020;19:15:00;23.4;Gr. 6V
12-06-2020;19:20:00;23.6;Gr. 6V
12-06-2020;19:25:00;23.5;Gr. 6V
12-06-2020;19:30:00;23.3;Gr. 6V
12-06-2020;19:35:00;23.2;Gr. 6V
12-06-2020;19:40:00;23.4;Gr. 6V
12-06-2020;19:45:00;23.2;Gr. 6V
12-06-2020;19:50:00;23.5;Gr. 6V
12-06-2020;19:55:00;23.5;Gr. 6V
12-06-2020;20:00:00;23.1;Gr. 6V
12-06-2020;20:05:00;22.7;Gr. 6V
12-06-2020;20:10:00;22.6;Gr. 6V
12-06-2020;20:15:00;22.2;Gr. 6V
12-06-2020;20:20:00;22.3;Gr. 6V
12-06-2020;20:25:00;22.3;Gr. 6V
12-06-2020;20:30:00;22.3;Gr. 6V
12-06-2020;20:35:00;22.4;Gr. 6V
12-06-2020;20:40:00;22.4;Gr. 6V
12-06-2020;20:45:00;22.2;Gr. 6V
12-06-2020;20:50:00;22.1;Gr. 6V
12-06-2020;20:55:00;22.1;Gr. 6V
12-06-2020;21:00:00;21.7;Gr. 6V
12-06-2020;21:05:00;21.8;Gr. 6V
12-06-2020;21:10:00;21.8;Gr. 6V
12-06-2020;21:15:00;21.6;Gr. 6V
12-06-2020;21:20:00;21.4;Gr. 6V
12-06-2020;21:25:00;21.4;Gr. 6V
12-06-2020;21:30:00;21.2;Gr. 6V
12-06-2020;21:35:00;20.7;Gr. 6V
12-06-2020;21:40:00;20.5;Gr. 6V
12-06-2020;21:45:00;20.1;Gr. 6V
12-06-2020;21:50:00;19.8;Gr. 6V
12-06-2020;21:55:00;19.6;Gr. 6V
12-06-2020;22:00:00;19.4;Gr. 6V
12-06-2020;22:05:00;19.3;Gr. 6V
12-06-2020;22:10:00;19.3;Gr. 6V
12-06-2020;22:15:00;19.7;Gr. 6V
12-06-2020;22:20:00;19.3;Gr. 6V
12-06-2020;22:25:00;18.9;Gr. 6V
12-06-2020;22:30:00;18.7;Gr. 6V
12-06-2020;22:35:00;18.6;Gr. 6V
12-06-2020;22:40:00;18.7;Gr. 6V
12-06-2020;22:45:00;18.2;Gr. 6V
12-06-2020;22:50:00;18.1;Gr. 6V
12-06-2020;22:55:00;18.2;Gr. 6V
12-06-2020;23:00:00;18.1;Gr. 6V
12-06-2020;23:05:00;17.7;Gr. 6V
12-06-2020;23:10:00;17.9;Gr. 6V
12-06-2020;23:15:00;17.6;Gr. 6V
12-06-2020;23:20:00;17.8;Gr. 6V
12-06-2020;23:25:00;17.7;Gr. 6V
12-06-2020;23:30:00;17.6;Gr. 6V
12-06-2020;23:35:00;17.6;Gr. 6V
12-06-2020;23:40:00;17.9;Gr. 6V
12-06-2020;23:45:00;17.7;Gr. 6V
12-06-2020;23:50:00;17.8;Gr. 6V
12-06-2020;23:55:00;17.8;Gr. 6V
13-06-2020;00:00:00;17.8;Gr. 6V
13-06-2020;00:05:00;17.7;Gr. 6V
13-06-2020;00:10:00;17.4;Gr. 6V
13-06-2020;00:15:00;17.6;Gr. 6V
13-06-2020;00:20:00;17.5;Gr. 6V
13-06-2020;00:25:00;17.4;Gr. 6V
13-06-2020;00:30:00;17.4;Gr. 6V
13-06-2020;00:35:00;17.2;Gr. 6V
13-06-2020;00:40:00;17.2;Gr. 6V
13-06-2020;00:45:00;16.9;Gr. 6V
13-06-2020;00:50:00;16.6;Gr. 6V
13-06-2020;00:55:00;16.5;Gr. 6V
13-06-2020;01:00:00;16.6;Gr. 6V
13-06-2020;01:05:00;16.8;Gr. 6V
13-06-2020;01:10:00;16.6;Gr. 6V
13-06-2020;01:15:00;16.7;Gr. 6V
13-06-2020;01:20:00;16.7;Gr. 6V
13-06-2020;01:25:00;16.7;Gr. 6V
13-06-2020;01:30:00;16.8;Gr. 6V
13-06-2020;01:35:00;16.9;Gr. 6V
13-06-2020;01:40:00;16.9;Gr. 6V
13-06-2020;01:45:00;16.9;Gr. 6V
13-06-2020;01:50:00;17.1;Gr. 6V
13-06-2020;01:55:00;17.1;Gr. 6V
13-06-2020;02:00:00;17.1;Gr. 6V
13-06-2020;02:05:00;17.0;Gr. 6V
13-06-2020;02:10:00;17.1;Gr. 6V
13-06-2020;02:15:00;16.9;Gr. 6V
13-06-2020;02:20:00;16.9;Gr. 6V
13-06-2020;02:25:00;16.9;Gr. 6V
13-06-2020;02:30:00;16.9;Gr. 6V
13-06-2020;02:35:00;16.9;Gr. 6V
13-06-2020;02:40:00;16.9;Gr. 6V
13-06-2020;02:45:00;17.1;Gr. 6V
13-06-2020;02:50:00;17.0;Gr. 6V
13-06-2020;02:55:00;17.1;Gr. 6V
13-06-2020;03:00:00;16.8;Gr. 6V
13-06-2020;03:05:00;16.9;Gr. 6V
13-06-2020;03:10:00;16.8;Gr. 6V
13-06-2020;03:15:00;16.9;Gr. 6V
